"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WFC^V","Wells Fargo & Company","26.08","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^v",
"WFC^W","Wells Fargo & Company","26","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^w",
"WFC^X","Wells Fargo & Company","25.97","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^x",
"WFC^Y","Wells Fargo & Company","26.39","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^y",
"WFE^A.CL","Wells Fargo & Company","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfe^a.cl",
"EOD","Wells Fargo Global Dividend Opportunity Fund","5.49","$241.86M","2007","n/a","n/a","https://old.nasdaq.com/symbol/eod",
"WELL","Welltower Inc.","84.87","$34.44B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/well",
"WAIR","Wesco Aircraft Holdings, Inc.","11.02","$1.1B","2011","Capital Goods","Wholesale Distributors","https://old.nasdaq.com/symbol/wair",
"WCC","WESCO International, Inc.","53.79","$2.28B","1999","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/wcc",
"WST","West Pharmaceutical Services, Inc.","147.35","$10.87B","n/a","Basic Industries","Specialty Chemicals","https://old.nasdaq.com/symbol/wst",
"WAL","Western Alliance Bancorporation","51.62","$5.35B","2005","Finance","Major Banks","https://old.nasdaq.com/symbol/wal",
"WALA","Western Alliance Bancorporation","26.3452","n/a","2016","Finance","Major Banks","https://old.nasdaq.com/symbol/wala",
"WEA","Western Asset Bond Fund","14.32","$170.48M","2002","n/a","n/a","https://old.nasdaq.com/symbol/wea",
"TLI","Western Asset Corporate Loan Fund Inc","9.4","$93.43M","1998","n/a","n/a","https://old.nasdaq.com/symbol/tli",
"EMD","Western Asset Emerging Markets Debt Fund Inc","14.04","$852.87M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/emd",
"GDO","Western Asset Global Corporate Defined Opportunity Fund Inc.","17.6","$262.95M","2009","n/a","n/a","https://old.nasdaq.com/symbol/gdo",
"EHI","Western Asset Global High Income Fund Inc","9.72","$428.72M","2003","n/a","n/a","https://old.nasdaq.com/symbol/ehi",
"HIX","Western Asset High Income Fund II Inc.","6.69","$569.7M","1998","n/a","n/a","https://old.nasdaq.com/symbol/hix",
"HIO","Western Asset High Income Opportunity Fund, Inc.","4.99","$638.47M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hio",
"HYI","Western Asset High Yield Defined Opportunity Fund Inc.","15.24","$346.7M","2010","n/a","n/a","https://old.nasdaq.com/symbol/hyi",
"SBI","Western Asset Intermediate Muni Fund Inc","9.24","$130.12M","1992","n/a","n/a","https://old.nasdaq.com/symbol/sbi",
"IGI","Western Asset Investment Grade Defined Opportunity Trust Inc.","21.41","$231.89M","2009","n/a","n/a","https://old.nasdaq.com/symbol/igi",
"PAI","Western Asset Investment Grade Income Fund Inc.","16.1748","$153.54M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/pai",
"MMU","Western Asset Managed Municipals Fund, Inc.","13.78","$596.75M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mmu",
"WMC","Western Asset Mortgage Capital Corporation","10.12","$538.63M","2012","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/wmc",
"DMO","Western Asset Mortgage Defined Opportunity Fund Inc","21.64","$227.16M","2010","n/a","n/a","https://old.nasdaq.com/symbol/dmo",
"MTT","Western Asset Municipal Defined Opportunity Trust Inc","21.85","$266.32M","2009","n/a","n/a","https://old.nasdaq.com/symbol/mtt",
"MHF","Western Asset Municipal High Income Fund, Inc.","7.61","$164.63M","1988","n/a","n/a","https://old.nasdaq.com/symbol/mhf",
"MNP","Western Asset Municipal Partners Fund, Inc.","15.1","$146.76M","1993","n/a","n/a","https://old.nasdaq.com/symbol/mnp",
"GFY","Western Asset Variable Rate Strategic Fund Inc.","16.4274","$76.69M","2004","n/a","n/a","https://old.nasdaq.com/symbol/gfy",
"WIW","Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2","11.19","$684.65M","2004","n/a","n/a","https://old.nasdaq.com/symbol/wiw",
"WIA","Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd","11.89","$346.63M","2003","n/a","n/a","https://old.nasdaq.com/symbol/wia",
"WES","Western Midstream Partners, LP","20.29","$9.19B","2012","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/wes",
"WU","Western Union Company (The)","27.47","$11.52B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/wu",
"WAB","Westinghouse Air Brake Technologies Corporation","77.92","$14.66B","n/a","Capital Goods","Railroads","https://old.nasdaq.com/symbol/wab",
"WLK","Westlake Chemical Corporation","73.48","$9.43B","2004","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/wlk",
"WLKP","Westlake Chemical Partners LP","23.47","$825.87M","2014","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/wlkp",
"WBK","Westpac Banking Corporation","18.58","$63.93B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/wbk",
"WRK","Westrock Company","39.24","$10.1B","2015","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/wrk",
"WHG","Westwood Holdings Group Inc","31.21","$279.17M","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/whg",
"WEX","WEX Inc.","196.41","$8.5B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/wex",
"WY","Weyerhaeuser Company","29.54","$22.01B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/wy",
"WPM","Wheaton Precious Metals Corp.","27.07","$12.1B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/wpm",
"WHR","Whirlpool Corporation","156.46","$9.89B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/whr",
"WTM","White Mountains Insurance Group, Ltd.","1087.8","$3.47B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/wtm",
"WSR","Whitestone REIT","13.97","$562.07M","2010","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/wsr",
"WLL","Whiting Petroleum Corporation","7.04","$642.74M","2003","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/wll",
"WOW","WideOpenWest, Inc.","6.49","$548.23M","2017","Consumer Services","Television Services","https://old.nasdaq.com/symbol/wow",
"WMB","Williams Companies, Inc. (The)","22.24","$26.96B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/wmb",
"WSM","Williams-Sonoma, Inc.","68.53","$5.35B","n/a","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/wsm",
"WGO","Winnebago Industries, Inc.","50.19","$1.59B","n/a","Consumer Non-Durables","Homebuilding","https://old.nasdaq.com/symbol/wgo",
"WIT","Wipro Limited","3.89","$22.12B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/wit",
"WNS","WNS (Holdings) Limited","61.7","$3.06B","2006","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/wns",
"WWW","Wolverine World Wide, Inc.","30.25","$2.58B","n/a","Consumer Non-Durables","Shoe Manufacturing","https://old.nasdaq.com/symbol/www",
"WF","Woori Bank","31.41","$7.12B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/wf",
"WK","Workiva Inc.","40.87","$1.89B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/wk",
"INT","World Fuel Services Corporation","42.66","$2.79B","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/int",
"WWE","World Wrestling Entertainment, Inc.","55.42","$4.35B","n/a","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/wwe",
"WOR","Worthington Industries, Inc.","38.72","$2.12B","n/a","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/wor",
"WPP","WPP plc","63.52","$16.03B","n/a","Technology","Advertising","https://old.nasdaq.com/symbol/wpp",
"WPX","WPX Energy, Inc.","10.4","$4.39B","2011","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/wpx",
"WYND","Wyndham Destinations, Inc.","49.21","$4.46B","n/a","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/wynd",
"WH","Wyndham Hotels & Resorts, Inc.","55.39","$5.27B","2018","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/wh",
"XYF","X Financial","1.88","$294.8M","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/xyf",
"XFLT","XAI Octagon Floating Rate & Alternative Income Term Trust","8.84","$73.81M","2017","n/a","n/a","https://old.nasdaq.com/symbol/xflt",
"XHR","Xenia Hotels & Resorts, Inc.","21.85","$2.46B","2015","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/xhr",
"XRX","Xerox Holdings Corporation","37.66","$8.55B","n/a","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/xrx",
